,perMarkSlope,totMarkSlope,opgr500kSlope,slopelargeCropOp,cattlegr500_slope,hogsSlope,SlopeBroilOp,layerSlope,turkeySlope,Adens_Slope,CattleAMUSlope,HogAMUSlope,TurkeyAMUSlope,BroilerAMUSlope,LayerAMU,cluster
17039,3.261288543,4019060,4.12,0.36,0.06,0.02,0,0,0,0.23597486,-8.06,56.664,0.02664,0.096,-0.131,2
17041,3.049916506,5209960,4.32,0.84,0.12,-0.12,0,0,0,-0.924787683,144.6,-362.728,0.10764,18.4308,0,1
17043,-2.729241931,-533120,-0.24,-0.02,0,0,0,0,0,-0.049058315,-8.52,0.08,0.00576,0,0.1052,2
17045,1.285088072,3650660,4.54,0.96,0.02,-0.18,0,0,0,-6.24361855,-306.4,-1709.584,0,0,0.0436,2
17047,2.606826702,1576020,1.4,0.24,0,-0.08,0,0,0,-1.863148556,-241.14,26.352,0.00144,0.0108,0.1364,2
17049,2.407478773,6475420,4.34,0.4,0.54,0.22,0,0,0,8.852147595,330.72,1865.32,-0.2808,-0.0112,-0.402,1
17051,2.214687581,4342460,4.2,0.72,0.32,-0.26,0,0,0,-1.223756299,-184.98,-268.96,0.0396,0.1516,-0.4036,2
17053,2.520896989,5831720,3.52,0.28,-0.04,-0.16,0,0,0,3.614654276,-107.02,1016.64,0,-0.3032,-0.0938,2
17055,2.833069803,2659940,1.94,0.36,0,-0.14,0,0,0.04,-0.708622675,-24.88,-172.688,47.70612,0.0048,-0.2436,2
17057,3.004675829,7266660,5.22,0.86,0.26,-0.32,0,0,0,-1.171359596,-350.3,-174.816,0.06336,-0.0248,-0.1918,1
17059,1.710548224,3103140,1.06,0.24,0,-0.12,0,0,0,-1.397708437,-141.64,-92.208,0,0,0,2
17061,1.741808175,5077440,4.54,0.88,0.18,-0.58,0,0,0,-12.9678263,-177.64,-3470.064,0.00288,-0.0568,-6.00E-04,2
17063,3.031253425,4545940,4.12,1.02,-0.04,-0.12,0,0,0,-0.795033496,-76.78,-95.704,0.0072,0.0288,0.2532,1
17065,2.113225728,2414580,1.4,0.38,0,-0.12,0,0,0,-2.308676463,-123.34,-396.808,-7.11E-18,0.0278,0.3302,2
17067,2.70032179,11690020,6.66,1.4,0.08,0,0,0,0,5.176526009,-423.8,2551.768,0.01728,0.1108,0.283,1
17069,0,117380,0.22,0.06,0.06,-0.04,0,0,0,-1.687002203,-155.06,0,0,0,0.0464,2
17071,2.635816577,3999360,3.34,-0.3,-0.2,-0.08,0,0,0,-2.669661049,-376.9,-147.168,0,-0.004,0.2432,2
17073,2.266388216,11152420,7.52,1.12,0.12,-2.18,0,0,0,-6.625441049,-809.62,-2014.76,0.00576,0.1012,-0.4154,1
17075,1.981380312,12531160,10.74,1.82,0.22,-0.06,0,0,0,0.382569875,-66.04,287.592,0.01908,-0.1366,0,1
17077,2.143648113,2748940,1.78,0.44,-0.12,-0.04,0,0,0,-1.280853161,-291.82,-95.04,0.02736,-0.0068,-0.347,2
17079,2.302891111,4985140,2.46,0.34,0.16,-0.82,0,0,0,7.036809056,-69.08,1871.736,0.01152,0.0756,0.1488,1
17081,2.208861358,2929860,1.96,0.52,0.12,0.04,0,0,-0.14,-0.009545278,-127.42,140.112,-15.54228,0.4952,-0.4692,2
17083,1.963807006,2248720,1.74,0.66,-0.16,-0.04,0,0,0,-3.14799866,-340.62,-262.04,0.02808,0.0128,-0.1692,2
17085,2.489549518,4756000,3.24,0.56,0.78,-0.22,0,0,0,-3.515024616,-545.34,-548.552,-0.01296,-0.1802,-0.0614,1
17087,2.298241042,330820,0.34,-0.08,-0.28,-0.04,0,0,0,-4.205080907,-581.4,-167.224,-0.02808,0.0264,-0.1048,2
17089,1.223778818,3871740,1.88,0.28,-0.24,-0.28,0,0,0,-0.351753723,-360.68,265.928,0.10008,0.0206,0,2
17091,1.818676495,6837800,3.98,0.8,-0.16,-0.16,0,0,0,-2.16479377,-155.92,-602.704,0.13284,-0.1022,0,2
17093,2.270150422,2591760,1.92,0.56,0.06,-0.16,0,0,0,-2.854195753,28.78,-502.712,-0.01008,0.2768,0.204,2
17095,2.126324864,9388840,5.68,1.22,-0.32,-0.4,0,0,0.02,1.437058408,-530.12,1063.136,0,0.032,0.2236,1
