GEOID,InitialCluster,Megacluster
39155,Low,Low
39157,Low,Low
39159,Low,Low
39161,Low,Medium
39163,Low,Low
39165,Low,Low
39167,Low,Low
39169,HighBalanced,Medium
39171,Low,Low
39173,Low,Low
39175,Low,Low
47001,Low,Low
47003,HighBalanced,Low
47005,Low,Low
47007,Low,Low
47009,Low,Low
47011,HighBalanced,Medium
47013,Low,Low
47015,Low,Low
47017,Low,Low
47019,Low,Low
47021,Low,Low
47023,Low,Low
47025,Low,Low
47027,Low,Medium
47029,Low,Low
47031,Low,Low
47033,Medium,Low
47035,Low,Low
47037,Low,Low
47039,Low,Low
47041,Low,Low
47043,Low,Low
47045,Medium,Low
47047,Medium,Low
47049,Low,Low
47051,Low,Low
47053,Medium,Low
47055,Low,Low
47057,Low,Low
47059,Low,Low
47061,Low,Low
47063,Low,Low
47065,Low,Low
47067,Low,Low
47069,Low,Low
47071,Low,Low
47073,Low,Low
47075,Medium,Low
47077,Low,Low
47079,Low,Medium
47081,Low,Low
47083,Low,Low
47085,Low,Low
47087,Low,Low
47089,Low,Low
47091,Low,Low
47093,Low,Low
47095,Low,Low
47097,Medium,Low
47099,Low,Low
47101,Low,Low
47103,Low,Medium
47105,Low,Low
47107,Low,Low
47109,Low,Low
47111,Low,Low
47113,Low,Low
47115,Low,Low
47117,Low,Low
47119,Low,Low
47121,Low,Low
47123,Low,Low
47125,Low,Low
47127,Low,Low
47129,Low,Low
47131,Medium,Low
47133,Low,Low
47135,Low,Low
47137,Low,Low
47139,Low,Low
47141,Low,Low
47143,Low,Low
47145,Low,Low
47147,Low,Medium
47149,Low,Low
47151,Low,Low
47153,Low,Low
47155,Low,Low
47157,Low,Low
47159,Low,Low
47161,Low,Low
47163,Low,Low
47165,Low,Low
47167,Medium,Low
47169,Low,Low
47171,Low,Low
47173,Low,Low
47175,Low,Low
47177,Low,Low
47179,Low,Low
47181,Low,Low
47183,Low,Low
47185,Low,Low
47187,Low,Low
47189,Low,Low
55001,Medium,Low
55003,Low,Low
55005,HighCons,High
55007,Low,Low
55009,HighBalanced,High
55011,HighBalanced,Medium
55013,Low,Low
55015,Low,High
55017,Low,Medium
55019,HighBalanced,High
55021,Low,Medium
55023,Low,Low
55025,HighBalanced,High
55027,HighBalanced,Medium
55029,Low,Low
55031,Low,Low
55033,Low,Medium
55035,Low,Low
55037,Low,Low
55039,HighBalanced,High
55041,Low,Low
55043,HighBalanced,High
55045,Low,Medium
55047,Low,Medium
55049,Low,Medium
55051,Low,Low
55053,Medium,Low
55055,HighBalanced,Medium
55057,Low,Low
55059,Low,Low
55061,Low,High
55063,Low,Low
55065,HighBalanced,High
55067,Low,Low
55069,Low,Low
55071,HighBalanced,High
55073,HighBalanced,Medium
55075,Low,Medium
55077,Low,Low
55078,Low,Low
55079,Low,Low
55081,Low,Medium
55083,Low,Low
55085,Low,Low
55087,HighBalanced,High
55089,Low,Low
55091,Low,Low
55093,Low,Medium
55095,Low,Medium
55097,Medium,Medium
55099,Low,Low
55101,Medium,Low
55103,Low,Low
55105,HighBalanced,Medium
55107,Low,Low
55109,Low,Medium
55111,HighBalanced,Medium
55113,Low,Low
55115,Low,Medium
55117,Low,High
55119,Low,Medium
55121,HighBalanced,Medium
55123,Low,Medium
55125,Low,Low
55127,Low,Low
55129,Low,Low
55131,Low,Medium
55133,Low,Low
55135,Low,Medium
55137,Medium,Low
55139,Low,Low
55141,Low,Medium
