"","totMarkValue_1997","perBigMark1997","opgr500k_1997","opgr2000acres_1997","cattlegr500_1997","ophogsgr1000_1997","broilgr500000_2002","layergr100000_2002","turkeyContracts_2002","Adens_Int","cluster"
"18053",63462000,31.35577196,25,9,1,10,0,0,0,12.20639887,"2"
"18055",77801000,67.88344623,26,11,2,6,0,0,6,45.02837195,"2"
"18057",60959000,44.75303073,14,7,0,7,0,0,0,12.43816756,"2"
"18059",56665000,39.81470043,29,11,0,16,0,0,0,26.63527045,"2"
"18061",46670000,50.63852582,7,3,3,1,2,0,0,26.29231799,"2"
"18063",50749000,33.98687659,18,10,0,5,0,0,1,16.63430256,"2"
"18065",53031000,28.4361977,22,5,2,3,0,0,0,15.66448946,"2"
"18067",64589000,38.8827819,29,6,2,19,0,0,0,49.77693085,"1"
"18069",70594000,38.45652605,21,4,1,10,0,0,0,21.42716748,"2"
"18071",93601000,54.3103172,15,3,4,7,0,1,1,24.69168292,"2"
"18073",111942000,45.57538725,52,13,4,27,0,1,0,39.93416687,"1"
"18075",83354000,50.58785421,38,3,1,15,0,8,17,29.85675257,"3"
"18077",23919000,0,2,4,1,1,0,0,0,14.56730626,"2"
"18079",45556000,60.02502415,10,8,0,1,0,1,0,13.84611553,"2"
"18081",47273000,39.26977344,17,5,3,4,0,0,0,30.10529599,"2"
"18083",103779000,51.66266778,48,21,3,16,0,0,4,23.65365247,"1"
"18085",148750000,62.89478992,57,12,11,25,0,2,0,40.76108688,"1"
"18087",109664000,35.26499125,23,6,3,13,1,0,0,69.98734339,"1"
"18089",49249000,41.31454446,23,13,0,4,0,0,0,4.522535397,"2"
"18091",97444000,45.18903165,46,19,8,7,0,0,0,23.98864548,"1"
"18093",22621000,30.79881526,5,4,5,1,1,0,1,23.0602586,"2"
"18095",79857000,41.39900071,35,12,1,8,0,0,0,15.52881318,"2"
"18097",36035000,71.25849868,11,1,0,0,0,0,0,1.248394212,"2"
"18099",64749000,28.79426709,25,9,3,2,0,0,0,18.4218042,"2"
"18101",23803000,47.23774314,11,3,0,4,0,1,18,30.16671208,"3"
"18103",75776000,36.4165435,27,5,4,29,0,0,0,43.40464283,"1"
"18105",9192000,25.45691906,4,0,1,0,0,0,0,9.750975499,"2"
"18107",85523000,42.67974697,36,22,0,13,0,0,3,46.71665267,"1"
"18109",34591000,32.89005811,14,6,1,3,0,0,0,12.00388777,"2"
"18111",85315000,51.19381117,28,16,0,9,0,1,0,23.55286376,"2"
"18113",60780000,35.72885818,20,1,2,12,0,0,0,30.06111889,"2"
"18115",4060000,0,1,0,0,0,0,0,0,13.43289865,"2"
"18117",21934000,46.47579101,4,3,1,3,0,1,0,14.51292765,"2"
"18119",16494000,21.0985813,3,1,2,3,0,0,0,14.02946632,"2"
"18121",44038000,32.41064535,18,21,1,4,0,0,0,13.60862905,"2"
"18123",13084000,33.300214,5,0,1,5,0,0,1,21.12515394,"2"
"18125",20208000,21.94180523,6,3,0,2,0,0,4,8.852648664,"2"
"18127",42888000,23.00876702,14,4,0,4,0,0,0,8.987454168,"2"
"18129",60134000,39.38204676,33,18,0,5,0,0,1,10.96714834,"1"
"18131",98145000,53.37103266,40,22,1,14,0,1,0,22.51507726,"2"
"18133",48999000,28.79242434,13,10,0,10,0,0,1,22.87617603,"2"
"18135",67639000,26.87354928,19,7,0,10,0,0,2,16.45809628,"2"
"18137",59468000,52.66025425,15,4,1,8,0,0,0,24.07275661,"2"
"18139",87033000,31.00777866,31,8,4,26,0,0,0,51.24080229,"1"
"18141",56520000,41.49150743,24,9,0,6,0,1,0,14.68000975,"2"
"18143",9521000,20.97468753,3,3,0,0,0,0,1,8.491944066,"2"
"18145",67768000,31.65210719,24,9,1,8,0,0,0,24.95899507,"2"
"18147",52005000,40.27881934,27,15,0,18,0,0,3,33.41429117,"2"
"18149",33311000,35.80799135,13,10,0,1,0,0,0,3.274494957,"2"
"18151",26171000,17.69897979,6,8,0,1,0,0,0,13.38598652,"2"
"18153",44677000,30.33328111,20,18,0,5,0,0,2,9.11229109,"2"
"18155",13612000,24.40493682,3,2,0,1,0,0,0,12.34100313,"2"
"18157",81126000,41.58716071,32,21,2,22,0,0,0,32.28235916,"1"
"18159",66995000,45.50339578,30,7,0,12,0,1,0,33.64070011,"2"
"18161",26317000,15.57548353,7,0,0,6,0,0,0,39.25731129,"2"
"18163",21689000,21.92355572,6,2,0,0,0,0,0,6.603830684,"2"
"18165",30625000,43.06612245,9,6,0,2,0,0,0,14.21693454,"2"
"18167",26204000,23.12242406,8,8,0,5,0,0,0,8.485276062,"2"
"18169",100852000,52.27561179,42,7,13,33,0,1,0,66.73018346,"1"
"18171",58509000,47.54824044,19,15,0,3,0,0,0,3.542360965,"2"
"18173",24055000,21.29702764,7,5,0,1,0,0,0,8.681047803,"2"
"18175",40965000,28.83925302,14,3,2,5,6,0,3,31.09092268,"2"
"18177",51922000,25.55756712,18,1,2,9,0,0,0,26.4251307,"2"
"18179",76276000,37.13356757,33,8,7,15,0,1,0,19.7002631,"2"
"18181",119971000,49.96124063,49,17,0,35,0,1,0,38.41153176,"1"
"18183",52060000,38.74951978,24,9,2,18,0,0,0,28.42092181,"2"
"19001",84799000,27.23499098,16,15,11,7,0,1,0,42.72110102,"2"
"19003",50509000,31.74483755,20,10,10,16,0,0,0,52.2756486,"2"
"19005",81994000,14.02053809,16,6,5,23,0,0,0,58.24231748,"2"
"19007",30260000,14.30270985,6,10,5,0,0,0,0,34.20671762,"2"
"19009",116428000,48.01422338,50,13,10,58,0,0,0,90.73145766,"1"
"19011",161581000,29.46819242,51,7,9,25,0,1,0,35.84255067,"1"
"19013",129897000,29.7859073,43,3,3,58,0,0,0,50.67938929,"1"
"19015",123544000,33.65440653,39,10,7,25,0,2,0,30.92357928,"1"
"19017",103552000,24.28345179,29,4,3,27,0,0,0,55.73178423,"1"
"19019",139832000,29.33877796,54,10,4,53,0,0,0,64.55990623,"1"
"19021",212862000,50.30583195,90,8,5,103,0,2,4,112.7750473,"1"
